PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
13151,265.0,24,13,12,253,72,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,72,5,0,0,0,2,1,2,178.0,2,1,0,Married,UNDER GRADUATE,29,M,23000,53,0.5,0.0,0.0,0.0,0,0.0,0,0.5,0.0,0.5,0.0,1.82,0,0,PL,others,660,P3
28428,47.0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6.0,5,5,4,Married,GRADUATE,28,M,11000,18,0.6,1.0,0.861,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.68,1,0,ConsumerLoan,others,663,P3
26554,74.0,6,6,1,30,30,0,1,1,0,30,0,0,8,4,8,0,0,0,0,0,0,0,0,0,30,4,0,0,0,1,1,1,8.0,4,4,4,Married,UNDER GRADUATE,25,M,15000,116,1.0,0.0,0.959,0.0,0,0.0,0,1.0,0.0,1.0,0.0,18.667,0,0,ConsumerLoan,ConsumerLoan,649,P4
13344,66.0,21,13,6,77,20,0,0,0,0,0,2,1,68,8,22,0,0,0,0,0,0,0,0,0,20,3,0,0,0,2,1,2,142.0,3,2,0,Married,POST-GRADUATE,31,M,26000,68,0.286,1.0,0.223,0.0,0,0.071,1,0.5,0.0,0.5,0.0,9.615,0,0,others,PL,701,P3
30955,1127.0,29,29,2,29,29,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,1,0,0,1999.0,0,0,0,Married,POST-GRADUATE,52,M,48500,102,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,1,HL,others,677,P2
28791,115.0,6,6,1,26,26,0,1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,7.0,1,1,1,Married,OTHERS,37,M,30000,77,1.0,0.0,0.971,0.0,0,0.971,1,0.0,0.0,0.0,0.0,1.667,0,0,others,others,655,P4
37809,56.0,35,22,14,330,60,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,60,14,0,0,0,1,0,1,1.0,10,4,2,Married,GRADUATE,36,M,45000,186,0.333,0.0,0.467,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.511,0,0,ConsumerLoan,others,658,P4
19506,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,6,9,0,0,0,3.0,11,7,6,Married,GRADUATE,36,M,40000,137,1.0,0.0,0.209,0.209,1,0.0,0,0.0,0.667,0.0,0.545,3.563,0,0,CC,others,659,P3
38310,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,3,4,0,2,28.0,5,1,1,Married,GRADUATE,28,M,26000,69,1.0,1.0,0.923,1.0,1,1.0,1,0.0,0.333,0.0,0.25,3.337,0,0,CC,PL,668,P3
12561,94.0,7,3,5,65,5,3,5,2,35,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2.0,1,1,1,Single,SSC,23,M,20000,186,1.0,0.0,1.03,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0,0,ConsumerLoan,ConsumerLoan,665,P3
38524,379.0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0,Married,GRADUATE,28,M,10000,88,1.0,0.0,0.621,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0,others,others,698,P2
