PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score
41866,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,75.0,2,1,1,Married,GRADUATE,29,M,28000,76,1.0,1.0,0.72,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.382,0,0,others,ConsumerLoan,682
25590,37.0,29,5,2,30,30,1,1,0,30,30,0,0,11,0,3,0,0,0,0,0,0,0,0,0,30,7,0,0,0,3,1,3,30.0,5,2,1,Single,UNDER GRADUATE,32,M,21546,107,0.833,0.25,0.996,0.0,0,0.0,0,0.333,0.0,0.333,0.0,36.734,1,0,AL,AL,682
9559,1093.0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0,Single,GRADUATE,37,M,16000,99,0.25,0.0,1.008,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,others,others,706
41115,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,243.0,1,0,0,Married,12TH,34,M,20000,64,0.5,0.0,0.333,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.885,0,0,PL,ConsumerLoan,689
39607,68.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,292.0,1,0,0,Married,UNDER GRADUATE,39,F,25000,125,1.0,0.0,0.825,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,679
45028,116.0,4,4,1,29,29,1,1,0,29,29,0,0,80,10,23,0,0,0,0,0,0,0,0,0,29,3,0,0,0,3,0,1,187.0,1,0,0,Married,12TH,50,F,28500,241,0.3,0.333,0.993,0.0,0,0.979,1,0.0,0.0,0.0,0.0,31.579,1,0,PL,PL,720
20243,109.0,28,2,14,304,273,2,6,4,304,304,14,12,129,30,73,0,0,0,0,0,0,0,0,0,273,1,0,0,0,0,0,0,722.0,0,0,0,Married,SSC,53,M,31000,188,0.786,0.5,1.033,0.0,0,0.0,0,0.0,0.0,0.0,0.0,16.742,1,0,others,others,753
34977,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2.0,3,1,1,Single,OTHERS,22,M,30000,76,0.5,0.0,0.706,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,ConsumerLoan,PL,672
23339,68.0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5.0,1,1,1,Single,12TH,28,M,14000,38,0.5,0.0,0.31,0.0,0,0.0,0,1.0,0.0,1.0,0.0,3.571,0,0,PL,PL,680
45328,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.0,1,1,1,Single,GRADUATE,24,F,30000,55,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,ConsumerLoan,675
50701,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,309.0,1,0,0,Married,12TH,56,M,18000,79,1.0,0.0,0.083,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.611,0,0,PL,PL,679
3682,396.0,35,26,9,900,59,0,0,0,0,0,8,5,17,0,3,1,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,1734.0,0,0,0,Married,GRADUATE,51,M,60000,273,0.1,0.0,0.967,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.82,1,1,HL,HL,704
41544,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,523.0,0,0,0,Married,12TH,46,M,25000,314,0.5,0.0,0.187,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,707
29439,52.0,17,3,2,3,3,1,1,0,3,3,0,0,88,16,34,0,0,0,0,0,0,0,0,0,3,10,2,0,0,1,0,0,2.0,5,4,2,Married,GRADUATE,40,M,30000,29,0.235,0.4,0.975,0.924,1,0.0,1,0.0,0.0,0.0,0.0,2.633,1,1,ConsumerLoan,CC,726
19972,2195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2866.0,0,0,0,Married,UNDER GRADUATE,48,M,20000,122,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,710
10478,74.0,0,0,0,0,0,0,0,0,0,0,0,0,86,20,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,244.0,1,0,0,Single,12TH,26,F,19000,42,0.308,0.429,0.953,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,others,others,734
48081,79.0,31,13,8,78,47,0,0,0,0,0,5,1,33,7,17,0,0,0,0,0,0,0,0,0,47,1,0,0,0,1,0,0,1297.0,0,0,0,Married,SSC,37,M,22500,184,0.069,0.0,0.127,0.0,0,0.0,0,0.0,0.0,0.0,0.0,8.889,1,0,PL,PL,704
34949,377.0,14,9,5,1,1,0,2,2,0,1,0,0,30,8,19,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7.0,1,1,1,Married,SSC,48,M,30000,239,0.273,0.0,0.833,0.0,0,0.704,1,0.0,0.0,0.0,0.0,4.433,1,1,others,ConsumerLoan,728
33138,68.0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0,1,1,1,Married,UNDER GRADUATE,43,M,30000,191,0.333,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,ConsumerLoan,ConsumerLoan,695
43142,587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1083.0,0,0,0,Married,GRADUATE,39,M,32000,160,0.25,1.0,0.75,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.812,0,0,ConsumerLoan,others,727
7141,74.0,35,15,7,89,59,0,0,0,0,0,7,3,44,7,22,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,1017.0,0,0,0,Married,GRADUATE,38,M,15000,186,0.143,0.0,0.522,0.0,0,0.0,0,0.0,0.0,0.0,0.0,5.633,1,0,others,others,712
26986,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.0,2,1,1,Married,OTHERS,30,F,18000,42,1.0,0.0,0.263,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.827,0,0,ConsumerLoan,ConsumerLoan,683
7794,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,23.0,5,2,2,Married,UNDER GRADUATE,37,M,40000,124,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,663
38524,379.0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0,Married,GRADUATE,28,M,10000,88,1.0,0.0,0.621,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0,others,others,698
5517,103.0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3261.0,0,0,0,Married,GRADUATE,31,M,15000,174,0.25,0.0,1.007,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.333,1,0,others,others,743
