PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score
7476,22.0,23,2,3,31,31,1,1,0,3,3,1,0,33,6,12,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,4.0,3,1,1,Married,GRADUATE,41,M,32000,142,0.333,0.5,0.465,0.0,1,0.0,1,0.0,0.0,0.0,0.0,14.925,1,1,ConsumerLoan,PL,727
13828,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,255.0,1,0,0,Married,UNDER GRADUATE,36,M,38000,114,1.0,0.0,0.894,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,684
47327,45.0,35,5,10,76,22,1,2,1,4,35,4,1,82,9,23,0,0,0,0,0,0,0,0,0,4,9,0,0,0,1,0,1,75.0,6,5,5,Married,12TH,42,M,45000,221,0.692,0.333,0.96,0.0,1,0.0,0,0.0,0.0,0.0,0.0,13.817,0,0,ConsumerLoan,others,731
46429,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,1,1,1.0,19,15,3,Married,POST-GRADUATE,28,M,16000,85,0.667,0.75,0.495,0.0,0,0.0,0,1.0,0.0,1.0,0.0,5.625,0,0,ConsumerLoan,others,668
28661,126.0,22,22,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,75.0,0,0,0,Married,12TH,30,M,40000,70,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,663
42435,45.0,27,6,10,525,374,0,1,1,0,60,10,8,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,0,124.0,2,2,0,Married,GRADUATE,32,M,40000,116,1.0,1.0,0.922,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,others,ConsumerLoan,706
48854,220.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,647.0,0,0,0,Married,OTHERS,39,F,30000,300,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,ConsumerLoan,ConsumerLoan,688
43630,259.0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,439.0,0,0,0,Married,GRADUATE,31,M,10000,106,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.82,1,0,ConsumerLoan,ConsumerLoan,695
46597,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6.0,2,2,2,Married,SSC,32,F,13000,150,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,666
19461,70.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,12,1,1,1,4,1,3,25.0,9,3,2,Married,GRADUATE,31,M,50000,71,0.625,0.5,0.759,0.0,0,0.81,1,0.333,1.0,0.25,1.0,2.072,1,0,ConsumerLoan,ConsumerLoan,691
36166,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,14.0,2,2,2,Married,SSC,26,M,16000,77,1.0,1.0,1.048,0.0,0,0.0,0,1.0,0.0,1.0,0.0,1.82,1,0,ConsumerLoan,PL,664
40746,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,4,5,5.0,11,8,4,Married,12TH,24,M,10000,98,1.0,0.0,0.5,0.0,0,0.0,0,0.8,0.0,0.8,0.0,1.999,0,0,PL,ConsumerLoan,652
27193,48.0,34,4,22,92,61,1,7,6,60,92,21,12,42,5,11,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,115.0,1,1,0,Single,12TH,34,M,38000,65,0.5,0.0,0.668,0.0,0,0.0,0,0.0,0.0,0.0,0.0,11.842,0,0,others,others,679
32418,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,3.0,5,4,2,Single,GRADUATE,22,M,18000,30,1.0,0.0,0.779,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,CC,671
