PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score
38310,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,3,4,0,2,28.0,5,1,1,Married,GRADUATE,28,M,26000,69,1.0,1.0,0.923,1.0,1,1.0,1,0.0,0.333,0.0,0.25,3.337,0,0,CC,PL,668
7915,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,52.0,2,2,2,Married,SSC,33,M,23000,153,1.0,1.0,0.979,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,others,others,666
7141,74.0,35,15,7,89,59,0,0,0,0,0,7,3,44,7,22,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,1017.0,0,0,0,Married,GRADUATE,38,M,15000,186,0.143,0.0,0.522,0.0,0,0.0,0,0.0,0.0,0.0,0.0,5.633,1,0,others,others,712
28704,74.0,15,15,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,85.0,1,1,1,Married,GRADUATE,39,M,30000,202,1.0,1.0,0.604,0.0,0,0.0,0,0.0,0.0,0.0,0.0,6.667,0,0,others,others,658
48882,43.0,25,24,2,109,78,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,78,33,1,1,1,3,1,1,1.0,30,30,23,Single,GRADUATE,28,M,18500,29,0.333,1.0,0.898,0.0,0,0.0,0,1.0,1.0,0.333,1.0,4.009,1,0,ConsumerLoan,others,543
47701,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0,4,4,4,Single,GRADUATE,27,M,28000,89,1.0,0.0,0.532,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,0,0,ConsumerLoan,others,659
28285,272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3,2,3,1.0,5,4,2,Single,GRADUATE,37,F,18000,68,0.667,1.0,1.365,0.0,0,1.0,1,0.667,0.0,0.667,0.0,1.111,0,0,ConsumerLoan,CC,661
12561,94.0,7,3,5,65,5,3,5,2,35,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2.0,1,1,1,Single,SSC,23,M,20000,186,1.0,0.0,1.03,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0,0,ConsumerLoan,ConsumerLoan,665
40422,49.0,35,12,3,28,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,15,0,0,0,2,1,1,7.0,6,3,3,Married,GRADUATE,25,M,35000,25,0.5,0.667,0.588,0.0,0,0.0,0,1.0,0.0,0.5,0.0,1.137,0,0,PL,others,668
51035,321.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,1,1,Married,GRADUATE,31,M,23790,41,0.5,0.0,1.073,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.82,1,0,others,others,672
